,market,code,active1,price,last_close,open,high,low,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2
0,0,000001,2073,11.1,11.29,11.26,11.3,11.09,11298890,-1110,390536,301,437053440.0,217957,172579,0,843,11.09,11.1,5378,907,11.08,11.11,4523,543,11.07,11.12,1362,2542,11.06,11.13,3393,2072,11.05,11.14,10256,769,"(5896,)",1,2,-6,33,65501,2073
1,1,600300,676,5.17,5.15,5.16,5.18,5.15,11299483,-517,41397,5,21385526.0,20971,20426,-1,0,5.17,5.18,318,976,5.16,5.19,4694,2310,5.15,5.2,1245,451,5.14,5.21,1288,432,5.13,5.22,581,675,"(1913,)",1,-17,-10,4,65518,676
